Event,B/S,Symb,Shares,Price,Route,Time,Account,Note,
Execute,Sell,FTEL,52,2.62,SMRT,13:00:12,U7595096,,
Accept,Sell,FTEL,52,2.57,SMRT,13:00:12,U7595096,,
Sending,Sell,FTEL,52,2.57,SMRT,13:00:12,U7595096,,
Accept,Sell,FTEL,52,2.57,SMAT,13:00:12,U7595096,,
Sending,Sell,FTEL,52,2.57,SMAT,13:00:12,U7595096,,
Execute,Buy,FTEL,52,2.74,SMRT,12:30:00,U7595096,,
Accept,Buy,FTEL,52,2.78,SMRT,12:30:00,U7595096,,
Sending,Buy,FTEL,52,2.78,SMRT,12:30:00,U7595096,,
Accept,Buy,FTEL,52,2.78,SMAT,12:30:00,U7595096,,
Sending,Buy,FTEL,52,2.78,SMAT,12:30:00,U7595096,,
Execute,Sell,NVVE,32,4.41,SMRT,12:19:35,U7595096,,
Accept,Sell,NVVE,32,4.41,SMRT,12:19:27,U7595096,,
Sending,Sell,NVVE,32,4.41,SMRT,12:19:27,U7595096,,
Accept,Sell,NVVE,32,4.41,SMAT,12:19:27,U7595096,,
Sending,Sell,NVVE,32,4.41,SMAT,12:19:27,U7595096,,
Execute,Buy,NVVE,32,4.5,SMRT,12:14:52,U7595096,,
Accept,Buy,NVVE,32,4.53,SMRT,12:14:52,U7595096,,
Sending,Buy,NVVE,32,4.53,SMRT,12:14:52,U7595096,,
Accept,Buy,NVVE,32,4.53,SMAT,12:14:52,U7595096,,
Sending,Buy,NVVE,32,4.53,SMAT,12:14:52,U7595096,,
Execute,Sell,RVSN,29,5.26,SMRT,11:59:39,U7595096,,
Accept,Sell,RVSN,29,5.26,SMRT,11:59:22,U7595096,,
Sending,Sell,RVSN,29,5.26,SMRT,11:59:22,U7595096,,
Accept,Sell,RVSN,29,5.26,SMAT,11:59:22,U7595096,,
Sending,Sell,RVSN,29,5.26,SMAT,11:59:22,U7595096,,
Canceled,Sell,RVSN,29,5.62,SMRT,11:58:43,U7595096,,
Canceling,Sell,RVSN,29,5.62,SMRT,11:58:43,U7595096,,
Accept,Sell,RVSN,29,5.62,SMRT,11:44:53,U7595096,,
Sending,Sell,RVSN,29,5.62,SMRT,11:44:53,U7595096,,
Execute,Buy,RVSN,29,4.62,SMRT,11:37:52,U7595096,,
Accept,Buy,RVSN,29,4.67,SMRT,11:37:52,U7595096,,
Sending,Buy,RVSN,29,4.67,SMRT,11:37:52,U7595096,,
Accept,Buy,RVSN,29,4.67,SMAT,11:37:52,U7595096,,
Sending,Buy,RVSN,29,4.67,SMAT,11:37:52,U7595096,,
Execute,Sell,RVSN,30,4.4848,SMRT,11:09:23,U7595096,,
Accept,Sell,RVSN,30,4.38,SMRT,11:09:23,U7595096,,
Sending,Sell,RVSN,30,4.38,SMRT,11:09:23,U7595096,,
Accept,Sell,RVSN,30,4.38,SMAT,11:09:23,U7595096,,
Sending,Sell,RVSN,30,4.38,SMAT,11:09:23,U7595096,,
Execute,Buy,RVSN,30,4.78,SMRT,11:05:53,U7595096,,
Accept,Buy,RVSN,30,4.83,SMRT,11:05:53,U7595096,,
Sending,Buy,RVSN,30,4.83,SMRT,11:05:53,U7595096,,
Accept,Buy,RVSN,30,4.83,SMAT,11:05:53,U7595096,,
Sending,Buy,RVSN,30,4.83,SMAT,11:05:53,U7595096,,
Send_Rej,Buy,RVSN,114,4.87,SMRT,11:05:50,U7595096,AVAILABLE CONVERTED TO BASE: 150.83 USD CASH NEEDED FOR THIS ORDER AND OTHER PENDING ORDERS: 556.18 USD,
Sending,Buy,RVSN,114,4.87,SMRT,11:05:50,U7595096,,
Accept,Buy,RVSN,114,4.87,SMAT,11:05:50,U7595096,,
Sending,Buy,RVSN,114,4.87,SMAT,11:05:50,U7595096,,
Execute,Sell,NVVE,31,4.33,SMRT,11:01:15,U7595096,,
Accept,Sell,NVVE,31,4.28,SMRT,11:01:15,U7595096,,
Sending,Sell,NVVE,31,4.28,SMRT,11:01:15,U7595096,,
Accept,Sell,NVVE,31,4.28,SMAT,11:01:15,U7595096,,
Sending,Sell,NVVE,31,4.28,SMAT,11:01:15,U7595096,,
Canceled,Sell,NVVE,31,4.38,SMRT,11:01:12,U7595096,,
Canceling,Sell,NVVE,31,4.38,SMRT,11:01:12,U7595096,,
Accept,Sell,NVVE,31,4.38,SMRT,11:01:09,U7595096,,
Sending,Sell,NVVE,31,4.38,SMRT,11:01:09,U7595096,,
Accept,Sell,NVVE,31,4.38,SMAT,11:01:09,U7595096,,
Sending,Sell,NVVE,31,4.38,SMAT,11:01:09,U7595096,,
Canceled,Sell,NVVE,31,4.39,SMRT,11:01:06,U7595096,,
Canceling,Sell,NVVE,31,4.39,SMRT,11:01:06,U7595096,,
Accept,Sell,NVVE,31,4.39,SMRT,11:00:54,U7595096,,
Sending,Sell,NVVE,31,4.39,SMRT,11:00:54,U7595096,,
Accept,Sell,NVVE,31,4.39,SMAT,11:00:54,U7595096,,
Sending,Sell,NVVE,31,4.39,SMAT,11:00:54,U7595096,,
Canceled,Sell,NVVE,31,4.39,SMRT,11:00:49,U7595096,,
Canceling,Sell,NVVE,31,4.39,SMRT,11:00:49,U7595096,,
Accept,Sell,NVVE,31,4.39,SMRT,11:00:07,U7595096,,
Sending,Sell,NVVE,31,4.39,SMRT,11:00:07,U7595096,,
